content,CustomerService,FiturAplikasi,UserExperience,Verifikasi,Preprocess,review_tokenized
"Aplikasi nya membantu banget, fitur fitur nya sangat mempermudah.",0,1,1,0,aplikasi  bantu  fitur fitur   mudah ,"['aplikasi', 'bantu', 'fitur', 'fitur', 'mudah']"
"Aplikasi cepat tanggap, semua kebutuhan ada disini, banyak keuntungan pake linkaja",0,1,1,0,aplikasi cepat tanggap  butuh    untung pakai linkaja,"['aplikasi', 'cepat', 'tanggap', 'butuh', 'untung', 'pakai', 'linkaja']"
"tidak bisa masuk akun nih. parah bener. ada masalah apa sih? ewallet yg lain aman2 aja. gra2 ewallet linkaja gangguan kan dpt tlpn ngaku admin linkaja, ehh akun ewallet aku yg lain di bajak dan saldo di dlm nya raib. sampe di akun aku ada yg di bekukan. mmg meresahkan pihak2 penipu nih. tlg y buat loe penipu. aku harap hdup mu baik2 aja stlh pakai duit kami.",0,0,-1,0,tidak  masuk akun  parah bener     dompet digital   aman aja gra dompet digital linkaja ganggu   telepon ngaku admin linkaja  akun dompet digital     bajak  saldo    raib   akun     beku mmg resah  tipu  tolong   lu tipu  harap hidup mu baik aja  pakai duit  ,"['tidak', 'masuk', 'akun', 'parah', 'bener', 'dompet', 'digital', 'aman', 'aja', 'gra', 'dompet', 'digital', 'linkaja', 'ganggu', 'telepon', 'ngaku', 'admin', 'linkaja', 'akun', 'dompet', 'digital', 'bajak', 'saldo', 'raib', 'akun', 'beku', 'mmg', 'resah', 'tipu', 'tolong', 'lu', 'tipu', 'harap', 'hidup', 'mu', 'baik', 'aja', 'pakai', 'duit']"
"Aplikasi yang mantabb, tampilannya mudah dan simpel, pokoknya keren dahh",0,1,1,0,aplikasi  mantap tampil mudah  simpel pokok keren ,"['aplikasi', 'mantap', 'tampil', 'mudah', 'simpel', 'pokok', 'keren']"
Minta tolong ini mau transfer uang tapi disuruh upgrade pake foto ktp dan foto wajah foto wajahnya udah pas malah prosesnya lama bgt nggak jadi jadi lagi.. Mohon bantuannya,0,0,-1,-1, tolong   transfer uang  suruh tingkat pakai foto ktp  foto wajah foto wajah udah pas  proses lama      mohon bantu,"['tolong', 'transfer', 'uang', 'suruh', 'tingkat', 'pakai', 'foto', 'ktp', 'foto', 'wajah', 'foto', 'wajah', 'udah', 'pas', 'proses', 'lama', 'mohon', 'bantu']"
Minta tolong di update untuk pengiriman ke bank lain misal ke BCA dll itu tdk ada nama rekening yg muncul jadi agak takut untuk transfer mohon di perbaiki dan tindakan lanjuti secepatnya,0,-1,-1,0, tolong  baharu  kirim  bank    bank central asia     tidak  nama rekening  muncul   takut  transfer mohon  baik  tindak  cepat,"['tolong', 'baharu', 'kirim', 'bank', 'bank', 'central', 'asia', 'tidak', 'nama', 'rekening', 'muncul', 'takut', 'transfer', 'mohon', 'baik', 'tindak', 'cepat']"
Semenjak punya aplikasi link gampang transaksi beli pulsa.. jangan ada kesulitan diantara kita ya min,0,1,1,0,semenjak  aplikasi linkaja gampang transaksi beli pulsa jangan  sulit    admin,"['semenjak', 'aplikasi', 'linkaja', 'gampang', 'transaksi', 'beli', 'pulsa', 'jangan', 'sulit', 'admin']"
"Rekomended banget buat jaman sekarang yang serba cashless, semua transaksi dalam satu aplikasi sangat menghemat waktu dan praktis. Dari bayar token listrik, pulsa, internet, bayar saat isi bensin, sampai pajak pun bisa dll. Aksesibilitasnya juga mudah, ga ribet, user friendly tampilannya, banyak keuntungan dari voucher, fitur yg lengkap dll.",0,1,1,0,rekomendasi   jaman   serba nontunai  transaksi   aplikasi  hemat   praktis  bayar token listrik pulsa internet bayar  isi bensin  pajak      aksesibilitas  mudah ga ribet guna friendly tampil  untung  voucher fitur  lengkap    ,"['rekomendasi', 'jaman', 'serba', 'nontunai', 'transaksi', 'aplikasi', 'hemat', 'praktis', 'bayar', 'token', 'listrik', 'pulsa', 'internet', 'bayar', 'isi', 'bensin', 'pajak', 'aksesibilitas', 'mudah', 'ga', 'ribet', 'guna', 'friendly', 'tampil', 'untung', 'voucher', 'fitur', 'lengkap']"
"Saya sangat kecewa dengan pelayanan CS linkaja, susah dihubungi dan menghabiskan pulsa saja, via email tidak ada respon begitu juga live chat di web linkaja.",-1,0,-1,0,  kecewa  layan layan langgan linkaja susah hubung  habis pulsa  via email tidak  respon   langsung obrol  web linkaja ,"['kecewa', 'layan', 'layan', 'langgan', 'linkaja', 'susah', 'hubung', 'habis', 'pulsa', 'via', 'email', 'tidak', 'respon', 'langsung', 'obrol', 'web', 'linkaja']"
aplikasi yang bener bener sangat membantu dalam transaksi apapun dengan penggunaan yang mudah tidak ribet dan mudah digunakan kapanpun dimanapun,0,1,1,0,aplikasi  bener bener  bantu  transaksi apa  guna  mudah tidak ribet  mudah   mana,"['aplikasi', 'bener', 'bener', 'bantu', 'transaksi', 'apa', 'guna', 'mudah', 'tidak', 'ribet', 'mudah', 'mana']"
"ini respon costemer servisnya gak diangkat""kecewa saya.. saya penguna linkaja dari pertama lo.. dulu gak seperti ini respo cepat bila ada kendala sekarang gak ada respon sama sekali email maupun telfon. tolong ditindak lanjutin",-1,0,-1,0, respon langgan servis gak diangkatkecewa   guna linkaja   lo  gak   respon cepat   kendala  gak  respon   email  telpon tolong tindak lanjutin,"['respon', 'langgan', 'servis', 'gak', 'diangkatkecewa', 'guna', 'linkaja', 'lo', 'gak', 'respon', 'cepat', 'kendala', 'gak', 'respon', 'email', 'telpon', 'tolong', 'tindak', 'lanjutin']"
Mohon di tingkatkan lagi. Untuk transfer ke BCA kenapa nomor rekeningnya gak ada atas namanya. Jadi kalo salah rekening gak ketauan namanya.,0,0,-1,0,mohon  tingkat   transfer  bank central asia  nomor rekening gak   nama   salah rekening gak tau nama ,"['mohon', 'tingkat', 'transfer', 'bank', 'central', 'asia', 'nomor', 'rekening', 'gak', 'nama', 'salah', 'rekening', 'gak', 'tau', 'nama']"
"Uang sering nyangkut, beberapa hari baru terkirim kalo buat transaksi belanja sangat bermasalah",0,-1,-1,0,uang  nyangkut    kirim   transaksi belanja  masalah,"['uang', 'nyangkut', 'kirim', 'transaksi', 'belanja', 'masalah']"
Aplikasi dompet digital yg nyaman digunakan. Bisa bayar tagihan rutin bulanan dan fiturnya sangat komplete. Rekomended deh ð,0,1,1,0,aplikasi dompet digital  nyaman   bayar tagih rutin bulan  fitur  lengkap rekomendasi  ,"['aplikasi', 'dompet', 'digital', 'nyaman', 'bayar', 'tagih', 'rutin', 'bulan', 'fitur', 'lengkap', 'rekomendasi']"
"Aplikasi yg bagus... memudahkan....sangat, lebih di tingkatkan lagi promo. serta merchant merchant lebih banyak lg.... Usul... Aplikasi linkaja bisa buat bayar semua jenis pembayaran yang ada. Transaksi lebih mudah. Tdk usah repot repot. Selama ini bertransaksi menggunakan apk link aja tdk ada kendala. Baik bayar pendidikan, tranfer bank, toko online, data. Pernah satu kali mengalami gagal/kendala tranfers ke bank BCA complain ke layanan dan uang kembali 1 hari setelah complain.",1,1,1,0,aplikasi  bagus mudah    tingkat  promo  dagang dagang   lg usul aplikasi linkaja   bayar  jenis bayar   transaksi  mudah tidak  repot repot   transaksi  aplikasi linkaja aja tidak  kendala baik bayar didik transfer bank toko daring data   kali alami gagal kendala tranfers  bank bank central asia komplain  layan  uang    komplain ,"['aplikasi', 'bagus', 'mudah', 'tingkat', 'promo', 'dagang', 'dagang', 'lg', 'usul', 'aplikasi', 'linkaja', 'bayar', 'jenis', 'bayar', 'transaksi', 'mudah', 'tidak', 'repot', 'repot', 'transaksi', 'aplikasi', 'linkaja', 'aja', 'tidak', 'kendala', 'baik', 'bayar', 'didik', 'transfer', 'bank', 'toko', 'daring', 'data', 'kali', 'alami', 'gagal', 'kendala', 'tranfers', 'bank', 'bank', 'central', 'asia', 'komplain', 'layan', 'uang', 'komplain']"
"Sudah cape rasanya,leher sampai pegal,mau upgrade ke premium sangat susah sekali.",0,0,-1,-1, cape  leher  pegal  tingkat  premium  susah  ,"['cape', 'leher', 'pegal', 'tingkat', 'premium', 'susah']"
"Aplikasi busuk, kirim uang pending. Mau login akun ngak bisa komplain hanya balasan otomatis respon lama",-1,-1,-1,0,aplikasi busuk kirim uang tunda  masuk akun   komplain  balas otomatis respon lama,"['aplikasi', 'busuk', 'kirim', 'uang', 'tunda', 'masuk', 'akun', 'komplain', 'balas', 'otomatis', 'respon', 'lama']"
"kecewa aplikasi ini, keluhan tidak direspon, sdh di telp cs dan chat, hilang saldo 200rb. sebaiknya kosongkan saldo anda sebelum kecewa",-1,0,-1,0,kecewa aplikasi  keluh tidak respon   telepon layan langgan  obrol hilang saldo   kosong saldo   kecewa,"['kecewa', 'aplikasi', 'keluh', 'tidak', 'respon', 'telepon', 'layan', 'langgan', 'obrol', 'hilang', 'saldo', 'kosong', 'saldo', 'kecewa']"
"Minta tolong dong untuk staff link aja mohon di percepat proses gmail saya, saya melakukan tarik saldo namun uang tidak keluar di atm, tapi saldo sudah berkurang di apk link aja,mohon proses kembalian uang saya,saya melakukan penarikan saldo 2x di tgl 18-januari-2023 itu semua tidak keluar uang y dri atm,saya sudah melakukan live cht dan tlpn cs namun tidak ada kejelasan berapa hari uang di kembalikan.",-1,-1,-1,0, tolong   staf linkaja aja mohon  cepat proses gmail    tarik saldo  uang tidak   atm  saldo  kurang  aplikasi linkaja aja mohon proses kembali uang    tari saldo   tanggal januari   tidak  uang   atm    langsung obrol  telepon layan langgan  tidak  jelas   uang  kembali ,"['tolong', 'staf', 'linkaja', 'aja', 'mohon', 'cepat', 'proses', 'gmail', 'tarik', 'saldo', 'uang', 'tidak', 'atm', 'saldo', 'kurang', 'aplikasi', 'linkaja', 'aja', 'mohon', 'proses', 'kembali', 'uang', 'tari', 'saldo', 'tanggal', 'januari', 'tidak', 'uang', 'atm', 'langsung', 'obrol', 'telepon', 'layan', 'langgan', 'tidak', 'jelas', 'uang', 'kembali']"
"Appk sangat buruk nih,sy isi e-money mandiri udah 3 kali ga masuk saldo ny,trus saldo link sy ny ke ambil,gmna nih appk ga kya appk dana bisa kembalk lg saldo ny?tolong tingkatkn lg kualitas ny,jng morotin trus lengguna appk",0,-1,-1,0,aplikasi  buruk   isi elektronik uang mandiri udah kali ga masuk saldo   saldo linkaja    ambil gimana  aplikasi ga kya aplikasi dana    saldo  tolong tingkatkn  kualitas  jangan morotin  guna aplikasi,"['aplikasi', 'buruk', 'isi', 'elektronik', 'uang', 'mandiri', 'udah', 'kali', 'ga', 'masuk', 'saldo', 'saldo', 'linkaja', 'ambil', 'gimana', 'aplikasi', 'ga', 'kya', 'aplikasi', 'dana', 'saldo', 'tolong', 'tingkatkn', 'kualitas', 'jangan', 'morotin', 'guna', 'aplikasi']"
gimana ini..mau di upgrate ke premium tp proses trus suruh nunggu 1x24 jaam.. padahal udah nunggu lebih dri waktunya tetep di proses trus.. tolong dong di prbaikin lagi.. mau buka bantuan juga gabisa padahal kuota full..trpksa ksih bintang 2. Tar kalo udh bisa di upgrate ke premium aku ganti bintang 5,-1,0,-1,-1,gimana    tingkat  premium  proses  suruh nunggu  jaam  udah nunggu      proses trus tolong   perbaikin   buka bantu  gabisa  kuota full trpksa kasih bintang entar  udah   tingkat  premium  ganti bintang ,"['gimana', 'tingkat', 'premium', 'proses', 'suruh', 'nunggu', 'jaam', 'udah', 'nunggu', 'proses', 'trus', 'tolong', 'perbaikin', 'buka', 'bantu', 'gabisa', 'kuota', 'full', 'trpksa', 'kasih', 'bintang', 'entar', 'udah', 'tingkat', 'premium', 'ganti', 'bintang']"
Knp akun sy tdk bs d akses. Cs ny d tlp dr pagi sampe tengah malam susah banget gk bs terhubung. di email jg gk ada respon..pd hal akun sy ada saldo ny kl gk ada saldo sy reinstal aj nih aplikasi.. Komplain ke infolinkaja.id gk ada solusi nya... MENGECEWAKAN SEKALI..... APLIKASI SAMPAH...,-1,-1,-1,0, akun  tidak   akses layan langgan   telepon  pagi   malam susah  gak  hubung  email  gak  respon pd  akun   saldo   gak  saldo  reinstal aja  aplikasi komplain  infolinkaja id gak  solusi  kecewa  aplikasi sampah ,"['akun', 'tidak', 'akses', 'layan', 'langgan', 'telepon', 'pagi', 'malam', 'susah', 'gak', 'hubung', 'email', 'gak', 'respon', 'pd', 'akun', 'saldo', 'gak', 'saldo', 'reinstal', 'aja', 'aplikasi', 'komplain', 'infolinkaja', 'id', 'gak', 'solusi', 'kecewa', 'aplikasi', 'sampah']"
"Aplikasi bagus ga lemot. fitur nya banyak bisa buat tf, top up, pulsa, listril dll dan mudah digunakan juga",0,1,1,0,aplikasi bagus ga lot fitur     transfer mantap  pulsa listrik     mudah  ,"['aplikasi', 'bagus', 'ga', 'lot', 'fitur', 'transfer', 'mantap', 'pulsa', 'listrik', 'mudah']"
"Aplikasi bagus mudah digunakan, bisa tarik uang, dan donasi juga",0,1,1,0,aplikasi bagus mudah   tarik uang  donasi ,"['aplikasi', 'bagus', 'mudah', 'tarik', 'uang', 'donasi']"
"Saya ngasi emoney 200rb dari link aja ,saldo udah ke ambil, tapi di cek di kartu emoney nya saldo gak masuk. Tapi bacaan nya transaksi sukses, gak ada pending. Saya udah berkali2 hubungi customer Service nya susah bgt gak ada jawaba",-1,1,-1,0, kasih uang digital   linkaja aja saldo udah  ambil   cek  kartu uang digital  saldo gak masuk  baca  transaksi sukses gak  tunda  udah kali hubung customer servis  susah  gak  ,"['kasih', 'uang', 'digital', 'linkaja', 'aja', 'saldo', 'udah', 'ambil', 'cek', 'kartu', 'uang', 'digital', 'saldo', 'gak', 'masuk', 'baca', 'transaksi', 'sukses', 'gak', 'tunda', 'udah', 'kali', 'hubung', 'customer', 'servis', 'susah', 'gak']"
"Udah 2 hari saya gak bisa melakukan transaksi seperti kirim uang. Tolong dong di perbaiki lagi layanannya, saya sebagai pengguna linkaja sangat kecewa.",0,-1,-1,0,udah   gak   transaksi  kirim uang tolong   baik  layan   guna linkaja  kecewa ,"['udah', 'gak', 'transaksi', 'kirim', 'uang', 'tolong', 'baik', 'layan', 'guna', 'linkaja', 'kecewa']"
"Udah pake apk ini dari lama sih, dan yg paling suka dari apk ini tuh ada 2 macem. 1. Gampang bgt caranya kalo mau tarik tunai di atm 2. Ketika lupa password, call center jg sangat sigap untuk membantu",1,1,1,0,udah pakai aplikasi   lama     suka  aplikasi     gampang     tarik tunai  atm  lupa password panggil pusat   sigap  bantu,"['udah', 'pakai', 'aplikasi', 'lama', 'suka', 'aplikasi', 'gampang', 'tarik', 'tunai', 'atm', 'lupa', 'password', 'panggil', 'pusat', 'sigap', 'bantu']"
Aplikasinya Mudah Di Gunakan Dan Sangat Membantu Wajib Di Instal Di Handphone Kalian !!! :D,0,1,1,0,aplikasi mudah     bantu wajib  pasang  handphone  ,"['aplikasi', 'mudah', 'bantu', 'wajib', 'pasang', 'handphone']"
"Linkaja tidak bisa beroperasi setelah pembaharuan, bagaimana solusinya? Saya sudah re-install namun tetap saja tidak bisa di buka",0,-1,-1,0,linkaja tidak  operasi  baharu  solusi   re pasang    tidak   buka,"['linkaja', 'tidak', 'operasi', 'baharu', 'solusi', 're', 'pasang', 'tidak', 'buka']"
"ini gimana ya saya sudah email 5 hari belum ada balasan, saya mau login tapi nomer hp saya yg dulu sudah tidak aktif dan saya tidak bisa dapat kode OTP nya",-1,0,-1,0, gimana    email    balas   masuk  nomor telepon     tidak aktif   tidak   kode kode ,"['gimana', 'email', 'balas', 'masuk', 'nomor', 'telepon', 'tidak', 'aktif', 'tidak', 'kode', 'kode']"
"Aplikasi yang sangat membantu aku sebagai anak kos yg sekarang di zamannya cashless, gaperlu repot bawa uang tunai semuanya bisa dibayar di LinkAja. Recomended sekalii ð",0,1,1,0,aplikasi   bantu   anak kos    zaman nontunai gaperlu repot bawa uang tunai   bayar  linkaja rekomendasi  ,"['aplikasi', 'bantu', 'anak', 'kos', 'zaman', 'nontunai', 'gaperlu', 'repot', 'bawa', 'uang', 'tunai', 'bayar', 'linkaja', 'rekomendasi']"
"Ini aplikasi tidak dapat melakukan transaksi, sudah hampir 2 hari ini, tolong dong di tingkatkan pelayanan nya",0,-1,-1,0, aplikasi tidak   transaksi     tolong   tingkat layan ,"['aplikasi', 'tidak', 'transaksi', 'tolong', 'tingkat', 'layan']"
"Tarik tunai uangnya gak keluar Malah transaksi transfer. Gimana bisa jadi aplikasi yg bagus, kalo transaksi gini Solusinya jg ribet banget Saldo udah kepotong,tp uang gak keluar, gimana ni? Aplikasi kog jadi terburuk kayak gini? Uang saya 500rb jadi hilang gara-gara pakai aplikasi ini saat tarik tunai di ATM",0,-1,-1,0,tarik tunai uang gak   transaksi transfer gimana   aplikasi  bagus  transaksi gin solusi  ribet  saldo udah potong  uang gak  gimana ni aplikasi   buruk kayak gin uang    hilang gara gara pakai aplikasi   tarik tunai  atm,"['tarik', 'tunai', 'uang', 'gak', 'transaksi', 'transfer', 'gimana', 'aplikasi', 'bagus', 'transaksi', 'gin', 'solusi', 'ribet', 'saldo', 'udah', 'potong', 'uang', 'gak', 'gimana', 'ni', 'aplikasi', 'buruk', 'kayak', 'gin', 'uang', 'hilang', 'gara', 'gara', 'pakai', 'aplikasi', 'tarik', 'tunai', 'atm']"
"Proses upgrade sudah lebih dari 24 jam belum beres, mengecewakan",0,0,-1,-1,proses tingkat    jam  beres kecewa,"['proses', 'tingkat', 'jam', 'beres', 'kecewa']"
"recommended, aplikasi Link Aja mudah diakses dan fitur-fiturnya sangat membantu dalam transaksi. selain itu juga masih ada keuntungan menarik yang didapat dari aplikasi ini",0,1,1,0,rekomendasi aplikasi linkaja aja mudah akses  fitur fitur  bantu  transaksi      untung tarik    aplikasi ,"['rekomendasi', 'aplikasi', 'linkaja', 'aja', 'mudah', 'akses', 'fitur', 'fitur', 'bantu', 'transaksi', 'untung', 'tarik', 'aplikasi']"
"Mempermudah transaksi, mau bayar juga jadi cepat, gaperlu bawa cash lagi, mantap dah pokoknya",0,1,1,0,mudah transaksi  bayar   cepat gaperlu bawa tunai  mantap  pokok,"['mudah', 'transaksi', 'bayar', 'cepat', 'gaperlu', 'bawa', 'tunai', 'mantap', 'pokok']"
"Ga bisa beli paket data dengan keterangan gangguan, mohon cepat diperbaiki",0,1,1,0,ga  beli paket data  terang ganggu mohon cepat baik,"['ga', 'beli', 'paket', 'data', 'terang', 'ganggu', 'mohon', 'cepat', 'baik']"
"Top up 500rb 2x transaksi pada tgl 27 -01-2023 hanya masuk 1x dan 1x 500rb tidak masuk sampai sekarang,,, pusat bantuan hanya chat live yg tidak lengkap mau ngirim bukti tidak bisa hanya klik menu yg ada itu sangat tidak membantu sepenuhnya ,,tlpn center sudah tidak respon apalagi imel ,, tolonglah aktifkan imel dan call center supaya kami bisa memberikan bukti2 transaksi dengan jelas kalo transaksi kami memang sukses tapi saldo tidak masuk ðððððð",-1,-1,-1,0,mantap    transaksi  tanggal  masuk     tidak masuk   pusat bantu  obrol langsung  tidak lengkap  ngirim bukti tidak   tekan menu     tidak bantu sepenuh tlpn pusat  tidak respon  email tolong aktif email  panggil pusat     bukti transaksi    transaksi   sukses  saldo tidak masuk ,"['mantap', 'transaksi', 'tanggal', 'masuk', 'tidak', 'masuk', 'pusat', 'bantu', 'obrol', 'langsung', 'tidak', 'lengkap', 'ngirim', 'bukti', 'tidak', 'tekan', 'menu', 'tidak', 'bantu', 'sepenuh', 'tlpn', 'pusat', 'tidak', 'respon', 'email', 'tolong', 'aktif', 'email', 'panggil', 'pusat', 'bukti', 'transaksi', 'transaksi', 'sukses', 'saldo', 'tidak', 'masuk']"
Aplikasi ini recommended bngt buat anak milenial buat dijadikan alat transaksi soalnya bnyk fitur yg mudah dan dimengerti buat orang awan,0,1,1,0,aplikasi  rekomendasi   anak milenial  jadi alat transaksi   fitur  mudah  erti  orang awan,"['aplikasi', 'rekomendasi', 'anak', 'milenial', 'jadi', 'alat', 'transaksi', 'fitur', 'mudah', 'erti', 'orang', 'awan']"
"LinkAja merupakan aplikasi yang sangat membantu serta mudah digunakan untuk melakukan berbagai macam transaksi, hanya dengan menekan fitur yang ada di aplikasi kita bisa melakukan transaksi dengan cepat,praktis, dan mudah, fitur yang ada juga beragam jadi membantu banyak dalam satu app saja. Aplikasi juga termasuk ringan sehingga tidak terlalu makan tempat penyimpanan. Mari menggunakan LinkAja untuk mempermudah transaksi.",0,1,1,0,linkaja  aplikasi   bantu  mudah      transaksi   tekan fitur    aplikasi    transaksi  cepat praktis  mudah fitur    agam  bantu    aplikasi  aplikasi   ringan  tidak  makan  simpan mari  linkaja  mudah transaksi ,"['linkaja', 'aplikasi', 'bantu', 'mudah', 'transaksi', 'tekan', 'fitur', 'aplikasi', 'transaksi', 'cepat', 'praktis', 'mudah', 'fitur', 'agam', 'bantu', 'aplikasi', 'aplikasi', 'ringan', 'tidak', 'makan', 'simpan', 'mari', 'linkaja', 'mudah', 'transaksi']"
"Aplikasi yang sangat membantu banget dalam pembayaran cashless, jadi buat gak ribet harus bolak balik ke outlet buat bayarin tagihan kayak listrik, air dan lain sebagainya. Beneran ga buat ribet dan mempersingkat waktu juga.",0,1,1,0,aplikasi   bantu   bayar nontunai   gak ribet  bolak   toko  bayarin tagih kayak listrik air    beneran ga  ribet  singkat   ,"['aplikasi', 'bantu', 'bayar', 'nontunai', 'gak', 'ribet', 'bolak', 'toko', 'bayarin', 'tagih', 'kayak', 'listrik', 'air', 'beneran', 'ga', 'ribet', 'singkat']"
Mantap.. Aplikasinya sangat membantu buat beli paket atau bayar tagihan dan berbagai macam transaksi lainnya,0,1,1,0,mantap aplikasi  bantu  beli paket  bayar tagih    transaksi ,"['mantap', 'aplikasi', 'bantu', 'beli', 'paket', 'bayar', 'tagih', 'transaksi']"
"aplikasi nya sangat membantu saya, memudahkan saya dalam bertransaksi, dan fitur-fitur nya lengkap banget bisa buat bayar tagihan listrik,pulsa,kuota,dll. proses pembayaran nya juga cepet gapake ribetð aplikasi ini sangat recomended jika ingin melakukan pembayaran dengan cepat.",0,1,1,0,aplikasi   bantu  mudah   transaksi  fitur fitur  lengkap    bayar tagih listrik pulsa kuota    proses bayar   cepat gapake ribet aplikasi   rekomendasi    bayar  cepat ,"['aplikasi', 'bantu', 'mudah', 'transaksi', 'fitur', 'fitur', 'lengkap', 'bayar', 'tagih', 'listrik', 'pulsa', 'kuota', 'proses', 'bayar', 'cepat', 'gapake', 'ribet', 'aplikasi', 'rekomendasi', 'bayar', 'cepat']"
Sangat recomended untuk pembayaran apapun dan ga ribet sama sekali. Lovee LinkAja,0,1,1,0, rekomendasi  bayar apa  ga ribet   suka linkaja,"['rekomendasi', 'bayar', 'apa', 'ga', 'ribet', 'suka', 'linkaja']"
